repo_id,apity,apity_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
50334710,IRI_ID,0,25201,4,1887,830,68,6,1,0,2,3
33653601,FFI_IRI,0,25370,7,5810,12058,641,283,65,3,31,184
1460385,FFI,0,134181,10,3907,20000,1336,843,281,6,58,498
85866753,FFI,0,19419,2,1541,1166,133,38,13,1,5,19
4190976,IRI_ID,0,16560,4,2902,701,87,18,7,2,1,8
12115269,IRI_ID,0,6112,9,2876,5252,375,109,6,0,2,101
2019626,HI,1,335,2,3514,381,75,13,3,0,0,10
94485056,IRI_ID,0,336,4,1406,37,12,2,0,0,0,2
143580,IRI,0,94406,5,4591,15943,651,604,41,2,129,432
6220644,FFI_IRI,0,384570,8,4176,5983,271,400,27,4,7,362
40092232,HI,1,2813,6,2178,1114,45,13,3,0,1,9
83878269,FFI,0,12891,5,1580,6665,257,156,24,2,10,120
640534,FFI,0,142280,7,3425,20000,721,560,137,14,39,370
2835111,FFI_IRI,0,46417,9,5778,7956,444,1149,62,3,30,1054
5552858,IRI,0,1451,3,1395,1059,17,40,31,0,5,4
481412,IRI,0,4006,3,4108,1074,102,59,24,2,0,33
10985948,IRI,0,5327,2,2539,2053,99,22,9,0,3,10
10267810,IRI_ID,0,45355,4,2952,2623,243,39,8,0,0,31
14329321,IRI,0,2047,4,2746,545,106,22,0,6,6,10
106310,ID,0,24331,4,7495,2475,228,126,34,0,1,91
4930931,IRI_ID,0,1657,5,3231,1426,310,34,4,5,2,23
691146,IRI_ID,0,16455,4,3994,820,84,10,1,0,2,7
677464,IRI,0,32962,2,5555,9714,550,359,69,2,3,285
25062303,FFI_IRI,0,11654,5,2386,349,57,10,0,0,3,7
45495679,IRI,0,79030,3,1890,2368,122,67,8,2,5,52
7379964,ID,0,381,4,2969,289,33,1,0,0,0,1
2960985,IRI,0,2440,3,3466,517,37,2,0,0,0,2
59868262,IRI,0,8206,3,1987,2159,177,93,21,0,13,59
11008076,FFI_IRI,0,332277,12,2877,16467,205,190,94,2,2,92
50213667,IRI_ID,0,5245,8,1781,491,67,13,2,0,1,10
24956772,FFI_IRI,0,106914,13,2766,6055,136,226,99,6,6,115
1333863,HI,1,1437,4,3788,1550,168,29,8,3,0,18
1272129,IRI,0,103578,5,3808,5867,527,223,58,4,29,132
41718185,IRI_ID,0,1001,3,2105,608,273,8,1,0,2,5
1696822,ID,0,52330,3,3347,1434,32,26,12,0,1,13
21486287,IRI,0,6676,2,838,2116,146,24,2,1,1,20
41233920,FFI,0,6207,2,2074,116,12,4,4,0,0,0
