id,languages,classifier,clfType,fileType
13453177,"['javascript', 'typescript', 'shell']",Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
12780802,"['typescript', 'javascript', 'shell']",Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
126308611,"['c++', 'c', 'shell']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
86987524,"['php', 'javascript', 'css', 'python', 'java', 'html', 'objective-c', 'shell', 'ruby']",Shell*_JavaScript*_PHP*,IMI,"['.ts', '.js', '.html', '.php', '.sh', '.bsh', '.zsh']"
6720847,"['php', 'javascript', 'html', 'css', 'shell']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
4137931,"['c++', 'c', 'shell']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
12896452,"['java', 'javascript', 'html', 'css', 'shell', 'python', 'ruby']",Shell*_JavaScript*_Java-Python,FFI_IMI,"['.py', '.java', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
7379566,"['python', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
66001846,"['python', 'javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
102903563,"['python', 'c++', 'shell']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
34982189,"['php', 'html', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
98051503,"['javascript', 'python', 'css', 'html', 'shell']",Shell*_JavaScript*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py', '.ts', '.js', '.html']"
1032,"['ruby', 'css', 'html', 'javascript', 'shell']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
1145581,"['python', 'html', 'css']",JS-CSS-HTML*_Python*,IMI_EBD,"['.py', '.html', '.js', '.css']"
42343629,"['java', 'html', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
1333666,"['python', 'c']",HIT*,HIT,['*']
10487363,"['c++', 'javascript', 'python', 'html', 'shell']",Shell*_Python*_C++-Objective-C,FFI_IMI,"['.mm', '.sh', '.bsh', '.zsh', '.py']"
61203,"['ruby', 'javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
20208662,"['ruby', 'html', 'javascript', 'shell', 'css']",Shell*_JavaScript*_Ruby*,IMI,"['.ts', '.js', '.html', '.rb', '.sh', '.bsh', '.zsh']"
131995661,"['php', 'javascript', 'html', 'shell', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
11851236,"['java', 'html', 'shell']",Shell*_Java-C_Java*,FFI_IMI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.java']"
12384349,"['javascript', 'css', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
286516,"['python', 'html', 'javascript']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
5545025,"['javascript', 'css', 'html', 'shell']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
4334538,"['python', 'html']",HIT*,HIT,['*']
99938998,"['javascript', 'python', 'css', 'html', 'shell']",Shell*_JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
2354240,"['shell', 'python', 'javascript', 'c', 'c++', 'html']",Shell*_JavaScript*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
22008449,"['javascript', 'html', 'php', 'typescript', 'c++', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
57436777,"['python', 'html', 'css']",Python*_C-Python,FFI_IMI,"['.c', '.py', '.py']"
33124686,"['c', 'shell', 'c++', 'python']",Java-C_C-Python_C-C++,FFI,"['.c', '.cpp', '.java', '.c', '.c', '.py']"
9061947,"['ruby', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
4254325,"['python', 'shell']",Python*,IMI,['.py']
3171508,"['typescript', 'css', 'html', 'javascript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
77933597,"['typescript', 'javascript', 'html', 'css']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
93446075,"['go', 'html', 'shell', 'javascript', 'python']",Shell*_Ruby-Go_Go*,FFI_IMI,"['.go', '.sh', '.bsh', '.zsh', '.go']"
